Topic,Sub-Topic,Projects,Status
Java Fundamentals,"Introduction to Java, Data Types, Variables & Operators, Reading Input & Formatting Output, Conditions & Loops, Arrays",,Yet to Start
Collections & Basic Algorithms,"Java Collections (List, Set, Map), Iterators, Enhanced For Loop, Sorting & Searching, Working with Wrapper Classes",,Yet to Start
Object-Oriented Programming with Java,"Classes & Objects, Attributes & Methods (Instance, Static, Class), Abstraction, Inheritance, Access Specifiers (Public, Private, Protected), Encapsulation",,Yet to Start
Advanced OOP & Exception Handling,"Method Overloading & Overriding, Interfaces, Polymorphism, Generics, Exception Types, Try-Catch-Finally Blocks, Custom Exceptions",,Yet to Start
